chunk,a12_value,a32_value,value_improvement_pct,a12_key,a32_key,key_improvement_pct
1,0.352619,0.340731,3.371,0.374795,0.356822,4.795
2,0.322344,0.254739,20.973,0.269184,0.208691,22.473
3,0.242961,0.232296,4.390,0.218676,0.206335,5.644
4,0.255853,0.217659,14.928,0.236305,0.193671,18.042
5,0.271167,0.268145,1.114,0.222317,0.211873,4.698
6,0.239417,0.216784,9.453,0.224209,0.173496,22.619
7,0.427286,0.424119,0.741,0.343222,0.340184,0.885
8,0.157745,0.157757,-0.008,0.150322,0.150083,0.159
9,0.207733,0.207528,0.099,0.146372,0.146318,0.037
10,0.243081,0.238872,1.731,0.179195,0.173620,3.111
11,0.179359,0.179152,0.115,0.126221,0.124918,1.032
12,0.170049,0.168351,0.999,0.119542,0.117305,1.871
13,0.183528,0.182732,0.434,0.112909,0.111600,1.159
14,0.196713,0.194732,1.007,0.120959,0.119825,0.938
15,0.188687,0.185618,1.627,0.115043,0.111607,2.987
16,0.187672,0.187142,0.282,0.112525,0.111634,0.792
17,0.139798,0.139722,0.054,0.096728,0.095068,1.716
18,0.142560,0.140453,1.478,0.099822,0.096842,2.985
19,0.178094,0.172923,2.904,0.107772,0.103424,4.034
20,0.438026,0.406086,7.292,0.388826,0.329100,15.361
21,0.834556,0.802483,3.843,0.740027,0.714476,3.453
22,0.302156,0.284467,5.854,0.268199,0.252662,5.793
mean,0.266427,0.254659,3.758,0.216962,0.202252,5.663
